model,response_model,image_path,zpid,room_type,replicate,score,level,confidence,valid,room_type_judgment,reasoning,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,thought_tokens,latency_s,cost_usd,error
gemini-3.5-flash,gemini-3.5-flash,images/439578555/439578555_5.jpg,439578555,kitchen,1,4.8,5,0.85,True,kitchen,"This compact kitchen features high-quality minimalist flat-panel wood cabinetry, including a panel-ready integrated refrigerator. The clean design is elevated by a matching solid-surface countertop and full-height slab backsplash, though the single-wall layout lacks a built-in island.",2872,755,0,0,645,6.442,0.011103,
gemini-3.5-flash,gemini-3.5-flash,images/448006342/448006342_3.jpg,448006342,kitchen,1,5.4,5,0.9,True,kitchen,"This compact kitchen features high-end custom cabinetry with integrated panel-ready appliances and a warm wood accent niche. The island is finished with a premium quartz waterfall countertop, matching slab backsplash, and a minimalist matte black faucet, elevating it well above a standard mid-range renovation.",2872,818,0,0,708,6.787,0.011670,
gemini-3.5-flash,gemini-3.5-flash,images/245040272/245040272_12.jpg,245040272,kitchen,1,2.6,3,0.9,True,kitchen,"This is a narrow galley kitchen featuring basic white flat-panel cabinets, laminate countertops, and standard white appliances. While clean and maintained, the materials and compact layout represent a basic, dated standard.",2900,650,0,0,556,6.983,0.010200,
gemini-3.5-flash,gemini-3.5-flash,images/68313646/68313646_2.jpg,68313646,kitchen,1,5.2,5,0.9,True,kitchen,"This kitchen features high-end elements that elevate it above a standard renovation, including premium stainless steel appliances like a Sub-Zero style refrigerator and built-in wine cooler, a thick-mitered dark stone island countertop, and sleek flat-panel cabinetry. The modern design is cohesive and upscale, though the overall footprint remains somewhat compact.",2872,810,0,0,687,7.124,0.011598,
gemini-3.5-flash,gemini-3.5-flash,images/245060365/245060365_5.jpg,245060365,kitchen,1,4.3,4,0.9,True,kitchen,"This galley kitchen represents a high-quality modern renovation featuring sleek flat-panel cabinetry, quartz countertops, and a full-height elongated subway tile backsplash. While the finishes are clean and cohesive, the compact galley layout without an island and standard stainless steel appliances align it with a Level 4 standard updated mid-range classification.",2872,867,0,0,748,7.196,0.012111,
gemini-3.5-flash,gemini-3.5-flash,images/320255113/320255113_3.jpg,320255113,kitchen,1,3.8,4,0.85,True,kitchen,"The kitchen features a modern two-tone cabinet design with a matching stone countertop and full-height backsplash. However, the compact L-shaped layout lacks an island, the appliances are standard mid-range, and the overall space is constrained, keeping it at a solid mid-range level.",2872,830,0,0,716,7.703,0.011778,
gemini-3.5-flash,gemini-3.5-flash,images/347205007/347205007_16.jpg,347205007,kitchen,1,4.5,5,0.9,True,kitchen,"This kitchen features a modern, cohesive renovation with sleek two-tone flat-panel cabinetry, quartz countertops, and a matching full-height slab backsplash. While the stainless steel appliances are standard mid-range, the clean design, recessed lighting, and slab backsplash elevate it slightly above a basic Level 4 renovation.",2872,957,0,0,840,7.652,0.012921,
gemini-3.5-flash,gemini-3.5-flash,images/452935685/452935685_5.jpg,452935685,kitchen,1,2.0,2,0.95,True,kitchen,"The kitchen features highly dated flat-panel wood cabinetry, laminate countertops, and older appliances. The vinyl tile flooring, wood wall paneling, and overall worn condition represent a basic, un-renovated space consistent with Level 2.",2872,758,0,0,654,7.713,0.011130,
gemini-3.5-flash,gemini-3.5-flash,images/2054934812/2054934812_3.jpg,2054934812,kitchen,1,2.2,2,0.9,True,kitchen,"The kitchen features highly dated finishes including patterned wallpaper, worn vinyl flooring, and basic wood cabinetry with laminate countertops. While clean and maintained, the materials and overall design are obsolete and represent a basic, dated standard.",2900,329,0,0,232,8.393,0.007311,
gemini-3.5-flash,gemini-3.5-flash,images/457610719/457610719_3.jpg,457610719,kitchen,1,4.6,5,0.9,True,kitchen,"This compact kitchen features high-quality modern finishes, highlighted by a premium full-height quartz slab backsplash that wraps into the window frame. While it lacks an island due to space constraints, the upgraded Bosch dishwasher, sleek angled range hood, and seamless flat-panel cabinetry elevate it above a standard mid-range renovation.",2872,995,0,0,877,8.385,0.013263,
gemini-3.5-flash,gemini-3.5-flash,images/2079507264/2079507264_7.jpg,2079507264,kitchen,1,5.5,6,0.9,True,kitchen,"This kitchen features high-end designer finishes including a marble waterfall island, premium high-gloss flat-panel cabinetry, and upscale appliances like a professional gas range. The dark wood herringbone flooring and modern pendant lighting further elevate the space, though its compact footprint keeps it from the highest tiers.",2872,1073,0,0,961,8.98,0.013965,
gemini-3.5-flash,gemini-3.5-flash,images/245523004/245523004_2.jpg,245523004,kitchen,1,5.7,6,0.9,True,kitchen,"This kitchen features upscale modern finishes, including high-end flat-panel cabinetry and premium black natural-stone slabs with dramatic white veining used for the countertops, full-height backsplash, and waterfall island. The integrated look is complemented by designer pendant lighting and professional-grade appliances, elevating it well above a standard mid-range renovation.",2872,790,0,0,668,10.654,0.011418,
gemini-3.5-flash,gemini-3.5-flash,images/320251340/320251340_1.jpg,320251340,kitchen,1,4.8,5,0.85,True,kitchen,"This compact kitchen features high-end modern finishes, including seamless flat-panel wood cabinetry with an integrated panel-ready refrigerator. The design is elevated by a textured 3D tile backsplash, clean quartz countertops, and premium fixtures, pushing it into the upper-mid range despite its limited footprint.",2918,704,0,0,589,5.353,0.010713,
gemini-3.5-flash,gemini-3.5-flash,images/338705381/338705381_2.jpg,338705381,kitchen,1,5.7,6,0.9,True,kitchen,"This kitchen features high-end designer finishes, including a premium stone countertop with a waterfall edge and a matching full-height slab backsplash. The custom flat-panel cabinetry with integrated appliances and minimalist hardware elevates it well beyond a standard renovation, though its compact U-shaped layout keeps it from the highest tier.",2872,821,0,0,705,6.227,0.011697,
gemini-3.5-flash,gemini-3.5-flash,images/459718105/459718105_2.jpg,459718105,kitchen,1,4.2,4,0.9,True,kitchen,"This kitchen features a clean, modern renovation with flat-panel grey upper cabinets, wood-toned island cabinetry, and white quartz countertops. The standard stainless steel appliances, glossy tile backsplash, and compact layout represent a well-executed mid-range update consistent with Level 4.",2872,826,0,0,716,5.971,0.011742,
gemini-3.5-flash,gemini-3.5-flash,images/338701821/338701821_3.jpg,338701821,kitchen,1,5.2,5,0.9,True,kitchen,"This kitchen features premium upgrades that elevate it above a standard mid-range renovation, including a full-height natural stone slab backsplash matching the countertops, a panel-ready integrated refrigerator, and stacked cabinetry extending to the ceiling with glass-front uppers. While it lacks a large island or the generous scale typical of Level 6, the high-end finishes and integrated appliances firmly place it in the Level 5 category.",2872,783,0,0,644,5.585,0.011355,
gemini-3.5-flash,gemini-3.5-flash,images/64547202/64547202_7.jpg,64547202,kitchen,1,2.7,3,0.9,True,kitchen,"The kitchen features basic white appliances, including a top-freezer refrigerator, paired with simple white cabinetry and laminate countertops. While it is clean and maintained with an added mosaic tile backsplash, the compact layout, basic dome lighting, and standard materials represent a dated, entry-level finish.",2872,993,0,0,881,6.974,0.013245,
gemini-3.5-flash,gemini-3.5-flash,images/443617919/443617919_2.jpg,443617919,kitchen,1,6.0,6,0.9,True,kitchen,"This kitchen features high-end custom flat-panel cabinetry with integrated, panel-ready appliances that blend seamlessly into the wood wall. The island and back counter are topped with premium stone slabs, complemented by a matching full-height stone backsplash. The custom curved island base and minimalist designer aesthetic represent an upscale, high-quality execution.",2872,855,0,0,734,6.595,0.012003,
gemini-3.5-flash,gemini-3.5-flash,images/455580860/455580860_5.jpg,455580860,kitchen,1,5.6,6,0.9,True,kitchen,"This kitchen features high-end finishes including double-stacked light wood cabinetry extending to the ceiling, a premium professional-style range and hood, and integrated appliances. The white stone countertops feature a waterfall edge on the peninsula and are paired with a matching full-height slab backsplash, elevating it well above a standard renovation.",2872,906,0,0,788,6.315,0.012462,
gemini-3.5-flash,gemini-3.5-flash,images/300074943/300074943_3.jpg,300074943,kitchen,1,6.2,6,0.95,True,kitchen,"This kitchen features high-end custom cabinetry with grain-matched wood veneer that extends to a matching wall panel and ceiling alcove. It includes premium natural stone countertops with a waterfall edge on the island, a matching full-height slab backsplash, and high-end integrated appliances. The sophisticated, cohesive designer finishes and custom architectural integration elevate it to an upscale level.",2872,764,0,0,636,7.802,0.011184,
gemini-3.5-flash,gemini-3.5-flash,images/30599448/30599448_6.jpg,30599448,kitchen,1,4.6,5,0.85,True,kitchen,"This compact kitchen features a stylish renovation with shaker cabinets in a custom blue finish, brass hardware, an apron-front farmhouse sink, and an upgraded professional-style blue gas range. While it lacks an island and has a simple single-wall layout, the cohesive design choices and upgraded appliances elevate it slightly above a standard mid-range renovation.",2897,1029,0,0,905,7.101,0.013607,
